mode: set
DartScheduler/domain/player.go:14.44,16.21 2 1
DartScheduler/scheduler/constraints.go:133.14,135.5 1 1
DartScheduler/scheduler/constraints.go:139.2,140.42 2 1
DartScheduler/scheduler/constraints.go:140.42,143.23 3 1
DartScheduler/scheduler/constraints.go:143.23,145.4 1 1
DartScheduler/scheduler/constraints.go:147.2,147.19 1 1
DartScheduler/scheduler/constraints.go:151.75,153.32 2 1
DartScheduler/scheduler/constraints.go:153.32,155.3 1 1
DartScheduler/scheduler/constraints.go:156.2,158.27 3 1
DartScheduler/scheduler/constraints.go:158.27,161.3 2 1
DartScheduler/scheduler/constraints.go:162.2,162.40 1 1
DartScheduler/scheduler/round_robin.go:11.53,15.20 3 1
DartScheduler/scheduler/round_robin.go:15.20,17.3 1 1
DartScheduler/scheduler/round_robin.go:18.2,21.24 3 1
DartScheduler/scheduler/round_robin.go:21.24,24.29 3 1
DartScheduler/scheduler/round_robin.go:24.29,26.44 2 1
DartScheduler/scheduler/round_robin.go:26.44,28.5 1 1
DartScheduler/scheduler/round_robin.go:30.3,34.15 4 1
DartScheduler/scheduler/round_robin.go:36.2,36.15 1 1
DartScheduler/scheduler/scheduler.go:37.50,38.25 1 1
DartScheduler/scheduler/scheduler.go:38.25,40.3 1 1
DartScheduler/scheduler/scheduler.go:41.2,41.24 1 1
DartScheduler/scheduler/scheduler.go:41.24,43.3 1 1
DartScheduler/scheduler/scheduler.go:45.2,49.31 3 1
DartScheduler/scheduler/scheduler.go:49.31,51.3 1 1
DartScheduler/scheduler/scheduler.go:54.2,58.27 3 1
DartScheduler/scheduler/scheduler.go:58.27,60.3 1 1
DartScheduler/scheduler/scheduler.go:61.2,61.27 1 1
DartScheduler/scheduler/scheduler.go:61.27,63.3 1 0
DartScheduler/scheduler/scheduler.go:64.2,85.36 10 1
DartScheduler/scheduler/scheduler.go:85.36,87.32 2 1
DartScheduler/scheduler/scheduler.go:87.32,89.4 1 1
DartScheduler/scheduler/scheduler.go:89.9,91.4 1 1
DartScheduler/scheduler/scheduler.go:92.3,96.4 1 1
DartScheduler/scheduler/scheduler.go:99.2,99.33 1 1
DartScheduler/scheduler/scheduler.go:99.33,107.3 2 1
DartScheduler/scheduler/scheduler.go:109.2,111.22 2 1
DartScheduler/scheduler/scheduler.go:115.58,120.38 5 1
DartScheduler/scheduler/scheduler.go:120.38,122.15 2 1
DartScheduler/scheduler/scheduler.go:122.15,124.4 1 1
DartScheduler/scheduler/scheduler.go:125.3,125.52 1 1
DartScheduler/scheduler/scheduler.go:125.52,128.4 2 1
DartScheduler/scheduler/scheduler.go:130.2,130.19 1 1
DartScheduler/usecase/export_usecase.go:33.18,40.2 1 0
DartScheduler/usecase/export_usecase.go:42.87,44.16 2 0
DartScheduler/usecase/export_usecase.go:44.16,46.3 1 0
DartScheduler/usecase/export_usecase.go:47.2,48.16 2 0
DartScheduler/usecase/export_usecase.go:48.16,50.3 1 0
DartScheduler/usecase/export_usecase.go:51.2,51.30 1 0
DartScheduler/usecase/export_usecase.go:51.30,53.17 2 0
DartScheduler/usecase/export_usecase.go:53.17,55.4 1 0
DartScheduler/usecase/export_usecase.go:56.3,56.27 1 0
DartScheduler/usecase/export_usecase.go:58.2,61.16 3 0
DartScheduler/usecase/export_usecase.go:61.16,63.3 1 0
DartScheduler/usecase/export_usecase.go:65.2,65.43 1 0
DartScheduler/usecase/export_usecase.go:69.106,71.16 2 0
DartScheduler/usecase/export_usecase.go:71.16,73.3 1 0
DartScheduler/usecase/export_usecase.go:74.2,75.16 2 0
DartScheduler/usecase/export_usecase.go:75.16,77.3 1 0
DartScheduler/usecase/export_usecase.go:78.2,78.30 1 0
DartScheduler/usecase/export_usecase.go:78.30,79.25 1 0
DartScheduler/usecase/export_usecase.go:79.25,81.4 1 0
DartScheduler/usecase/export_usecase.go:83.2,83.40 1 0
DartScheduler/usecase/export_usecase.go:87.129,89.16 2 0
DartScheduler/usecase/export_usecase.go:89.16,91.3 1 0
DartScheduler/usecase/export_usecase.go:92.2,93.16 2 0
DartScheduler/usecase/export_usecase.go:93.16,95.3 1 0
DartScheduler/usecase/export_usecase.go:96.2,98.30 3 0
DartScheduler/usecase/export_usecase.go:98.30,99.25 1 0
DartScheduler/usecase/export_usecase.go:99.25,102.9 3 0
DartScheduler/usecase/export_usecase.go:105.2,105.12 1 0
DartScheduler/usecase/export_usecase.go:105.12,107.3 1 0
DartScheduler/usecase/export_usecase.go:108.2,109.36 2 0
DartScheduler/usecase/export_usecase.go:109.36,111.3 1 0
DartScheduler/usecase/export_usecase.go:111.8,113.3 1 0
DartScheduler/usecase/export_usecase.go:114.2,114.16 1 0
DartScheduler/usecase/export_usecase.go:114.16,116.3 1 0
DartScheduler/usecase/export_usecase.go:117.2,121.37 2 0
DartScheduler/usecase/export_usecase.go:121.37,123.17 2 0
DartScheduler/usecase/export_usecase.go:123.17,125.4 1 0
DartScheduler/usecase/export_usecase.go:128.3,129.25 2 0
DartScheduler/usecase/export_usecase.go:129.25,130.39 1 0
DartScheduler/usecase/export_usecase.go:130.39,132.5 1 0
DartScheduler/usecase/export_usecase.go:134.3,134.25 1 0
DartScheduler/usecase/export_usecase.go:134.25,136.4 1 0
DartScheduler/usecase/export_usecase.go:136.9,138.4 1 0
DartScheduler/usecase/export_usecase.go:141.2,142.16 2 0
DartScheduler/usecase/export_usecase.go:142.16,144.3 1 0
DartScheduler/usecase/export_usecase.go:145.2,145.65 1 0
DartScheduler/usecase/player_usecase.go:21.100,23.2 1 0
DartScheduler/usecase/player_usecase.go:28.115,30.22 2 0
DartScheduler/usecase/player_usecase.go:30.22,32.3 1 0
DartScheduler/usecase/player_usecase.go:34.2,35.28 2 0
DartScheduler/usecase/player_usecase.go:35.28,50.3 1 0
DartScheduler/usecase/player_usecase.go:52.2,52.56 1 0
DartScheduler/usecase/player_usecase.go:52.56,54.3 1 0
DartScheduler/usecase/player_usecase.go:55.2,60.16 3 0
DartScheduler/usecase/player_usecase.go:60.16,62.3 1 0
DartScheduler/usecase/player_usecase.go:63.2,64.31 2 0
DartScheduler/usecase/player_usecase.go:64.31,65.17 1 0
DartScheduler/usecase/player_usecase.go:65.17,67.4 1 0
DartScheduler/usecase/player_usecase.go:71.2,72.28 2 0
DartScheduler/usecase/player_usecase.go:72.28,73.38 1 0
DartScheduler/usecase/player_usecase.go:73.38,74.12 1 0
DartScheduler/usecase/player_usecase.go:76.3,77.10 2 0
DartScheduler/usecase/player_usecase.go:77.10,78.12 1 0
DartScheduler/usecase/player_usecase.go:80.3,81.10 2 0
DartScheduler/usecase/player_usecase.go:81.10,83.12 2 0
DartScheduler/usecase/player_usecase.go:85.3,85.86 1 0
DartScheduler/usecase/player_usecase.go:89.2,91.25 2 0
DartScheduler/usecase/player_usecase.go:91.25,92.58 1 0
DartScheduler/usecase/player_usecase.go:92.58,94.4 1 0
DartScheduler/usecase/player_usecase.go:95.3,95.33 1 0
DartScheduler/usecase/player_usecase.go:95.33,99.19 1 0
DartScheduler/usecase/player_usecase.go:99.19,101.5 1 0
DartScheduler/usecase/player_usecase.go:103.3,103.102 1 0
DartScheduler/usecase/player_usecase.go:105.2,105.12 1 0
DartScheduler/usecase/player_usecase.go:110.84,113.16 3 0
DartScheduler/usecase/player_usecase.go:113.16,115.3 1 0
DartScheduler/usecase/player_usecase.go:116.2,116.25 1 0
DartScheduler/usecase/player_usecase.go:116.25,118.3 1 0
DartScheduler/usecase/player_usecase.go:119.2,120.21 2 0
DartScheduler/usecase/player_usecase.go:124.83,127.2 2 0
DartScheduler/usecase/player_usecase.go:130.111,132.2 1 0
DartScheduler/usecase/player_usecase.go:135.86,137.59 2 0
DartScheduler/usecase/player_usecase.go:137.59,139.3 1 0
DartScheduler/usecase/player_usecase.go:140.2,140.64 1 0
DartScheduler/usecase/player_usecase.go:140.64,142.3 1 0
DartScheduler/usecase/player_usecase.go:143.2,143.48 1 0
DartScheduler/usecase/player_usecase.go:143.48,145.3 1 0
DartScheduler/usecase/player_usecase.go:146.2,147.12 2 0
DartScheduler/usecase/player_usecase.go:151.118,153.70 2 0
DartScheduler/usecase/player_usecase.go:153.70,155.3 1 0
DartScheduler/usecase/player_usecase.go:156.2,156.31 1 0
DartScheduler/usecase/player_usecase.go:156.31,160.18 1 0
DartScheduler/usecase/player_usecase.go:160.18,162.4 1 0
DartScheduler/usecase/player_usecase.go:164.2,164.12 1 0
DartScheduler/usecase/schedule_usecase.go:29.20,36.2 1 1
DartScheduler/usecase/schedule_usecase.go:38.109,43.16 3 0
DartScheduler/usecase/schedule_usecase.go:43.16,45.3 1 0
DartScheduler/usecase/schedule_usecase.go:48.2,49.31 2 0
DartScheduler/usecase/schedule_usecase.go:49.31,50.53 1 0
DartScheduler/usecase/schedule_usecase.go:50.53,52.4 1 0
DartScheduler/usecase/schedule_usecase.go:54.2,58.16 3 0
DartScheduler/usecase/schedule_usecase.go:58.16,60.3 1 0
DartScheduler/usecase/schedule_usecase.go:61.2,72.32 6 0
DartScheduler/usecase/schedule_usecase.go:72.32,75.10 3 0
DartScheduler/usecase/schedule_usecase.go:76.23,77.59 1 0
DartScheduler/usecase/schedule_usecase.go:78.20,78.20 0 0
DartScheduler/usecase/schedule_usecase.go:80.11,81.59 1 0
DartScheduler/usecase/schedule_usecase.go:85.2,86.33 2 0
DartScheduler/usecase/schedule_usecase.go:86.33,88.3 1 0
DartScheduler/usecase/schedule_usecase.go:90.2,98.16 3 0
DartScheduler/usecase/schedule_usecase.go:98.16,100.3 1 0
DartScheduler/usecase/schedule_usecase.go:101.2,104.32 2 0
DartScheduler/usecase/schedule_usecase.go:104.32,106.3 1 0
DartScheduler/usecase/schedule_usecase.go:108.2,109.54 2 0
DartScheduler/usecase/schedule_usecase.go:109.54,111.3 1 0
DartScheduler/usecase/schedule_usecase.go:112.2,113.36 2 0
DartScheduler/usecase/schedule_usecase.go:113.36,114.61 1 0
DartScheduler/usecase/schedule_usecase.go:114.61,116.4 1 0
DartScheduler/usecase/schedule_usecase.go:117.3,117.26 1 0
DartScheduler/usecase/schedule_usecase.go:117.26,118.64 1 0
DartScheduler/usecase/schedule_usecase.go:118.64,120.5 1 0
DartScheduler/usecase/schedule_usecase.go:121.4,121.35 1 0
DartScheduler/usecase/schedule_usecase.go:124.2,127.33 2 0
DartScheduler/usecase/schedule_usecase.go:127.33,134.61 2 0
DartScheduler/usecase/schedule_usecase.go:134.61,136.4 1 0
DartScheduler/usecase/schedule_usecase.go:138.2,140.19 2 0
DartScheduler/usecase/schedule_usecase.go:143.39,145.24 2 0
DartScheduler/usecase/schedule_usecase.go:145.24,147.3 1 0
DartScheduler/usecase/schedule_usecase.go:148.2,148.10 1 0
DartScheduler/usecase/schedule_usecase.go:151.84,153.16 2 0
DartScheduler/usecase/schedule_usecase.go:153.16,155.3 1 0
DartScheduler/usecase/schedule_usecase.go:156.2,156.31 1 0
DartScheduler/usecase/schedule_usecase.go:159.104,161.16 2 1
DartScheduler/usecase/schedule_usecase.go:161.16,163.3 1 0
DartScheduler/usecase/schedule_usecase.go:164.2,164.31 1 1
DartScheduler/usecase/schedule_usecase.go:167.88,169.16 2 0
DartScheduler/usecase/schedule_usecase.go:169.16,171.3 1 0
DartScheduler/usecase/schedule_usecase.go:172.2,173.30 2 0
DartScheduler/usecase/schedule_usecase.go:173.30,175.17 2 0
DartScheduler/usecase/schedule_usecase.go:175.17,177.4 1 0
DartScheduler/usecase/schedule_usecase.go:178.3,184.4 1 0
DartScheduler/usecase/schedule_usecase.go:186.2,186.17 1 0
DartScheduler/usecase/schedule_usecase.go:191.181,195.16 3 0
DartScheduler/usecase/schedule_usecase.go:195.16,197.3 1 0
DartScheduler/usecase/schedule_usecase.go:199.2,200.31 2 0
DartScheduler/usecase/schedule_usecase.go:200.31,202.3 1 0
DartScheduler/usecase/schedule_usecase.go:205.2,208.32 4 0
DartScheduler/usecase/schedule_usecase.go:208.32,209.52 1 0
DartScheduler/usecase/schedule_usecase.go:209.52,212.4 2 0
DartScheduler/usecase/schedule_usecase.go:213.3,213.81 1 0
DartScheduler/usecase/schedule_usecase.go:216.2,222.54 2 0
DartScheduler/usecase/schedule_usecase.go:222.54,224.3 1 0
DartScheduler/usecase/schedule_usecase.go:226.2,226.36 1 0
DartScheduler/usecase/schedule_usecase.go:226.36,232.61 2 0
DartScheduler/usecase/schedule_usecase.go:232.61,234.4 1 0
DartScheduler/usecase/schedule_usecase.go:236.3,237.46 2 0
DartScheduler/usecase/schedule_usecase.go:237.46,240.20 3 0
DartScheduler/usecase/schedule_usecase.go:240.20,243.13 2 0
DartScheduler/usecase/schedule_usecase.go:245.4,247.84 2 0
DartScheduler/usecase/schedule_usecase.go:247.84,248.80 1 0
DartScheduler/usecase/schedule_usecase.go:248.80,249.17 1 0
DartScheduler/usecase/schedule_usecase.go:249.17,250.15 1 0
DartScheduler/usecase/schedule_usecase.go:252.6,252.53 1 0
DartScheduler/usecase/schedule_usecase.go:252.53,254.7 1 0
DartScheduler/usecase/schedule_usecase.go:254.12,256.7 1 0
DartScheduler/usecase/schedule_usecase.go:259.4,275.14 3 0
DartScheduler/usecase/schedule_usecase.go:275.14,278.5 2 0
DartScheduler/usecase/schedule_usecase.go:279.4,279.32 1 0
DartScheduler/usecase/schedule_usecase.go:281.3,281.23 1 0
DartScheduler/usecase/schedule_usecase.go:281.23,282.61 1 0
DartScheduler/usecase/schedule_usecase.go:282.61,284.5 1 0
DartScheduler/usecase/schedule_usecase.go:289.2,289.37 1 0
DartScheduler/usecase/schedule_usecase.go:289.37,296.61 2 0
DartScheduler/usecase/schedule_usecase.go:296.61,298.4 1 0
DartScheduler/usecase/schedule_usecase.go:301.2,302.31 2 0
DartScheduler/usecase/schedule_usecase.go:306.92,308.61 2 0
DartScheduler/usecase/schedule_usecase.go:308.61,310.3 1 0
DartScheduler/usecase/schedule_usecase.go:311.2,311.62 1 0
DartScheduler/usecase/schedule_usecase.go:311.62,313.3 1 0
DartScheduler/usecase/schedule_usecase.go:314.2,314.53 1 0
DartScheduler/usecase/schedule_usecase.go:314.53,316.3 1 0
DartScheduler/usecase/schedule_usecase.go:317.2,318.12 2 0
DartScheduler/usecase/schedule_usecase.go:321.90,323.60 2 0
DartScheduler/usecase/schedule_usecase.go:323.60,325.3 1 0
DartScheduler/usecase/schedule_usecase.go:326.2,326.52 1 0
DartScheduler/usecase/schedule_usecase.go:326.52,328.3 1 0
DartScheduler/usecase/schedule_usecase.go:329.2,330.12 2 0
DartScheduler/usecase/schedule_usecase.go:336.138,339.16 3 0
DartScheduler/usecase/schedule_usecase.go:339.16,341.3 1 0
DartScheduler/usecase/schedule_usecase.go:342.2,343.30 2 0
DartScheduler/usecase/schedule_usecase.go:343.30,344.24 1 0
DartScheduler/usecase/schedule_usecase.go:344.24,346.4 1 0
DartScheduler/usecase/schedule_usecase.go:348.2,354.69 2 0
DartScheduler/usecase/schedule_usecase.go:354.69,356.3 1 0
DartScheduler/usecase/schedule_usecase.go:357.2,358.16 2 0
DartScheduler/usecase/schedule_usecase.go:358.16,360.3 1 0
DartScheduler/usecase/schedule_usecase.go:361.2,361.31 1 0
DartScheduler/usecase/schedule_usecase.go:365.115,368.16 3 0
DartScheduler/usecase/schedule_usecase.go:368.16,370.3 1 0
DartScheduler/usecase/schedule_usecase.go:371.2,372.31 2 0
DartScheduler/usecase/schedule_usecase.go:372.31,374.3 1 0
DartScheduler/usecase/schedule_usecase.go:376.2,377.16 2 0
DartScheduler/usecase/schedule_usecase.go:377.16,379.3 1 0
DartScheduler/usecase/schedule_usecase.go:382.2,383.30 2 0
DartScheduler/usecase/schedule_usecase.go:383.30,384.27 1 0
DartScheduler/usecase/schedule_usecase.go:384.27,386.4 1 0
DartScheduler/usecase/schedule_usecase.go:389.2,394.37 3 0
DartScheduler/usecase/schedule_usecase.go:394.37,396.17 2 0
DartScheduler/usecase/schedule_usecase.go:396.17,398.4 1 0
DartScheduler/usecase/schedule_usecase.go:399.3,399.29 1 0
DartScheduler/usecase/schedule_usecase.go:399.29,402.4 2 0
DartScheduler/usecase/schedule_usecase.go:405.2,406.34 2 0
DartScheduler/usecase/schedule_usecase.go:406.34,412.3 1 0
DartScheduler/usecase/schedule_usecase.go:415.2,416.27 2 0
DartScheduler/usecase/schedule_usecase.go:416.27,417.40 1 0
DartScheduler/usecase/schedule_usecase.go:417.40,419.4 1 0
DartScheduler/usecase/schedule_usecase.go:420.3,420.49 1 0
DartScheduler/usecase/schedule_usecase.go:424.2,425.37 2 0
DartScheduler/usecase/schedule_usecase.go:425.37,427.3 1 0
DartScheduler/usecase/schedule_usecase.go:429.2,430.16 2 0
DartScheduler/usecase/schedule_usecase.go:430.16,432.3 1 0
DartScheduler/usecase/schedule_usecase.go:434.2,436.32 3 0
DartScheduler/usecase/schedule_usecase.go:436.32,440.42 4 0
DartScheduler/usecase/schedule_usecase.go:440.42,441.12 1 0
DartScheduler/usecase/schedule_usecase.go:443.3,447.19 4 0
DartScheduler/usecase/schedule_usecase.go:447.19,448.12 1 0
DartScheduler/usecase/schedule_usecase.go:451.3,452.40 2 0
DartScheduler/usecase/schedule_usecase.go:452.40,453.32 1 0
DartScheduler/usecase/schedule_usecase.go:453.32,455.5 1 0
DartScheduler/usecase/schedule_usecase.go:457.3,457.46 1 0
DartScheduler/usecase/schedule_usecase.go:457.46,459.4 1 0
DartScheduler/usecase/schedule_usecase.go:461.3,463.34 3 0
DartScheduler/usecase/schedule_usecase.go:463.34,466.4 2 0
DartScheduler/usecase/schedule_usecase.go:468.3,477.5 1 0
DartScheduler/usecase/schedule_usecase.go:480.2,481.31 2 0
DartScheduler/usecase/schedule_usecase.go:481.31,483.3 1 0
DartScheduler/usecase/schedule_usecase.go:485.2,486.37 2 0
DartScheduler/usecase/schedule_usecase.go:486.37,492.3 1 0
DartScheduler/usecase/schedule_usecase.go:494.2,501.8 2 0
DartScheduler/usecase/schedule_usecase.go:507.105,509.16 2 1
DartScheduler/usecase/schedule_usecase.go:509.16,511.3 1 0
DartScheduler/usecase/schedule_usecase.go:514.2,515.16 2 1
DartScheduler/usecase/schedule_usecase.go:515.16,517.3 1 0
DartScheduler/usecase/schedule_usecase.go:520.2,521.31 2 1
DartScheduler/usecase/schedule_usecase.go:521.31,523.3 1 1
DartScheduler/usecase/schedule_usecase.go:526.2,529.30 3 1
DartScheduler/usecase/schedule_usecase.go:529.30,530.26 1 1
DartScheduler/usecase/schedule_usecase.go:530.26,531.24 1 1
DartScheduler/usecase/schedule_usecase.go:531.24,534.19 3 1
DartScheduler/usecase/schedule_usecase.go:534.19,536.6 1 0
DartScheduler/usecase/schedule_usecase.go:537.5,538.27 2 1
DartScheduler/usecase/schedule_usecase.go:540.4,540.42 1 1
DartScheduler/usecase/schedule_usecase.go:541.9,543.4 1 1
DartScheduler/usecase/schedule_usecase.go:545.2,546.19 2 1
DartScheduler/usecase/score_usecase.go:17.150,19.2 1 1
DartScheduler/usecase/score_usecase.go:23.80,25.16 2 1
DartScheduler/usecase/score_usecase.go:25.16,27.3 1 1
DartScheduler/usecase/score_usecase.go:30.2,32.79 3 1
DartScheduler/usecase/score_usecase.go:32.79,33.19 1 1
DartScheduler/usecase/score_usecase.go:33.19,34.12 1 1
DartScheduler/usecase/score_usecase.go:36.3,36.22 1 1
DartScheduler/usecase/score_usecase.go:36.22,38.4 1 1
DartScheduler/usecase/score_usecase.go:38.9,40.4 1 1
DartScheduler/usecase/score_usecase.go:43.2,65.44 19 1
DartScheduler/usecase/score_usecase.go:69.138,71.16 2 1
DartScheduler/usecase/score_usecase.go:71.16,73.3 1 0
DartScheduler/usecase/score_usecase.go:74.2,74.28 1 1
DartScheduler/usecase/score_usecase.go:74.28,75.53 1 1
DartScheduler/usecase/score_usecase.go:75.53,76.12 1 1
DartScheduler/usecase/score_usecase.go:78.3,78.15 1 1
DartScheduler/usecase/score_usecase.go:78.15,79.12 1 1
DartScheduler/usecase/score_usecase.go:81.3,81.25 1 1
DartScheduler/usecase/score_usecase.go:81.25,82.12 1 1
DartScheduler/usecase/score_usecase.go:84.3,85.57 2 1
DartScheduler/usecase/score_usecase.go:85.57,87.4 1 0
DartScheduler/usecase/score_usecase.go:89.2,90.12 2 1
DartScheduler/usecase/score_usecase.go:95.136,98.23 3 0
DartScheduler/usecase/score_usecase.go:98.23,100.29 2 0
DartScheduler/usecase/score_usecase.go:100.29,102.16 2 0
DartScheduler/usecase/score_usecase.go:102.16,104.5 1 0
DartScheduler/usecase/score_usecase.go:105.4,105.25 1 0
DartScheduler/usecase/score_usecase.go:105.25,106.17 1 0
DartScheduler/usecase/score_usecase.go:106.17,107.34 1 0
